Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2025-01-30 23:47:02,8,10,0.0,0.0,0.0036851407439638167
2025-01-30 23:47:02,6,15,0.0,0.0,0.00342658828825116
2025-01-30 23:47:02,6,21,0.0,0.0,0.0023285699486612333
2025-01-30 23:47:02,7,27,0.0,0.0,0.0035494960886297573
2025-01-30 23:47:02,8,36,0.0,0.0,0.0013872823632238621
2025-01-30 23:47:02,7,42,0.0,0.0,0.0023726932778917456
2025-01-30 23:47:02,7,51,0.0,0.0,0.0011298325508316337
2025-01-30 23:47:02,8,56,0.0,0.0,0.0014391010981663012
2025-01-30 23:47:02,7,60,0.0,0.0,0.0007690170205897569
2025-01-30 23:47:02,7,65,0.0,0.0,0.0003115362722622994
2025-01-30 23:47:02,8,70,0.014285714285714285,1.4285714285714286,0.0011801689740051063
2025-01-30 23:47:02,8,73,0.0136986301369863,1.36986301369863,0.001016428860964325
2025-01-30 23:47:02,7,79,0.012658227848101266,1.2658227848101267,0.0009127687183671739
2025-01-30 23:47:02,6,82,0.012195121951219513,1.2195121951219512,0.0002613048759578405
2025-01-30 23:47:02,7,89,0.011235955056179775,1.1235955056179776,0.0001281995951959612
2025-01-30 23:47:02,7,98,0.01020408163265306,1.0204081632653061,0.0008603901200242846
2025-01-30 23:47:02,8,104,0.009615384615384616,0.9615384615384616,0.0005367511074258822
2025-01-30 23:47:02,8,112,0.008928571428571428,0.8928571428571428,0.0005309005643139
2025-01-30 23:47:02,7,122,0.00819672131147541,0.819672131147541,0.0006805784982708404
2025-01-30 23:47:02,8,130,0.007692307692307693,0.7692307692307693,7.772488819245358e-05
2025-01-30 23:47:02,7,140,0.007142857142857143,0.7142857142857143,0.00020558983498864263
2025-01-30 23:47:02,8,149,0.006711409395973154,0.6711409395973155,0.00016347449135423642
2025-01-30 23:47:02,8,157,0.006369426751592357,0.6369426751592357,0.00019209200680855916
2025-01-30 23:47:02,6,164,0.006097560975609756,0.6097560975609756,0.0002941524685172756
2025-01-30 23:47:02,5,170,0.0058823529411764705,0.5882352941176471,0.00048378465242503816
2025-01-30 23:47:02,8,180,0.005555555555555556,0.5555555555555556,0.000514291393762254
2025-01-30 23:47:02,7,189,0.010582010582010581,1.0582010582010581,0.00046577545748372547
2025-01-30 23:47:02,6,192,0.010416666666666666,1.0416666666666665,0.00020655381431576334
2025-01-30 23:47:02,8,202,0.009900990099009901,0.9900990099009901,0.0001448412069346794
2025-01-30 23:47:02,8,205,0.00975609756097561,0.975609756097561,0.00048548061135572976
2025-01-30 23:47:02,7,210,0.009523809523809525,0.9523809523809524,0.0004587733144495173
2025-01-30 23:47:02,8,214,0.009345794392523364,0.9345794392523363,0.00023822004546093662
2025-01-30 23:47:02,8,218,0.009174311926605505,0.9174311926605505,9.249390227595333e-05
2025-01-30 23:47:02,8,225,0.008888888888888889,0.8888888888888888,5.818712370821058e-05
2025-01-30 23:47:02,8,235,0.00851063829787234,0.851063829787234,0.000319833796805568
2025-01-30 23:47:02,8,243,0.012345679012345678,1.2345679012345678,0.0002925096035667351
2025-01-30 23:47:02,7,249,0.012048192771084338,1.2048192771084338,0.00038718824538395844
2025-01-30 23:47:02,8,254,0.011811023622047244,1.1811023622047243,0.00028195183259108555
2025-01-30 23:47:02,8,260,0.011538461538461539,1.153846153846154,0.0002636564615360013
2025-01-30 23:47:02,7,268,0.011194029850746268,1.1194029850746268,8.899861404742942e-05
2025-01-30 23:47:02,6,276,0.010869565217391304,1.0869565217391304,0.00016171836531520543
2025-01-30 23:47:02,8,279,0.010752688172043012,1.0752688172043012,0.00023353200015775017
2025-01-30 23:47:02,6,288,0.010416666666666666,1.0416666666666665,0.00018172668178071972
2025-01-30 23:47:02,8,293,0.010238907849829351,1.023890784982935,0.00010742041299299818
2025-01-30 23:47:02,8,300,0.01,1.0,4.4980269562487125e-05
2025-01-30 23:47:02,8,310,0.00967741935483871,0.967741935483871,6.401549312373673e-05
2025-01-30 23:47:02,7,315,0.009523809523809525,0.9523809523809524,0.00011435912079064247
2025-01-30 23:47:02,6,319,0.012539184952978056,1.2539184952978055,0.00023502391976360718
2025-01-30 23:47:02,7,327,0.012232415902140673,1.2232415902140672,5.2714916805218166e-05
2025-01-30 23:47:02,8,333,0.012012012012012012,1.2012012012012012,0.00022041312604420356
2025-01-30 23:47:02,8,341,0.011730205278592375,1.1730205278592376,0.0001266797445639228
2025-01-30 23:47:02,8,345,0.011594202898550725,1.1594202898550725,0.0002291493306547903
2025-01-30 23:47:02,8,349,0.011461318051575931,1.146131805157593,9.412487528987939e-05
2025-01-30 23:47:02,8,352,0.011363636363636364,1.1363636363636365,0.00019195558220802528
2025-01-30 23:47:02,7,362,0.011049723756906077,1.1049723756906076,0.0002384140356585713
2025-01-30 23:47:02,7,371,0.01078167115902965,1.078167115902965,4.045026851459309e-05
2025-01-30 23:47:02,7,377,0.010610079575596816,1.0610079575596816,0.00013666300129387668
2025-01-30 23:47:02,8,386,0.010362694300518135,1.0362694300518136,0.00016017882179055894
2025-01-30 23:47:02,7,390,0.010256410256410256,1.0256410256410255,0.0002095137788769761
2025-01-30 23:47:02,8,399,0.010025062656641603,1.0025062656641603,0.0002040116998289258
2025-01-30 23:47:02,7,404,0.009900990099009901,0.9900990099009901,9.652111740459704e-05
2025-01-30 23:47:02,6,412,0.009708737864077669,0.9708737864077669,0.00021626760662435364
2025-01-30 23:47:02,8,421,0.009501187648456057,0.9501187648456058,3.0209466383571263e-05
