Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2025-01-30 23:47:09,8,3,0.0,0.0,0.006137505428615069
2025-01-30 23:47:09,8,13,0.0,0.0,0.0010188793811725092
2025-01-30 23:47:09,8,17,0.0,0.0,0.004593617373799033
2025-01-30 23:47:09,8,23,0.0,0.0,0.0011971970942903842
2025-01-30 23:47:09,7,30,0.0,0.0,0.0005304747531277456
2025-01-30 23:47:09,8,37,0.0,0.0,0.000682104001871938
2025-01-30 23:47:09,6,46,0.0,0.0,0.0007435742000056682
2025-01-30 23:47:09,6,55,0.0,0.0,0.0009344267400891078
2025-01-30 23:47:09,6,65,0.0,0.0,0.0005818557261785689
2025-01-30 23:47:09,7,68,0.0,0.0,0.0008447863630425549
2025-01-30 23:47:09,6,73,0.0,0.0,0.0013155574958682013
2025-01-30 23:47:09,8,78,0.0,0.0,0.0002346885070951777
2025-01-30 23:47:09,6,86,0.0,0.0,0.00019256755441826327
2025-01-30 23:47:09,8,96,0.0,0.0,0.000979299866482141
2025-01-30 23:47:09,8,99,0.0,0.0,0.00015614755482349298
2025-01-30 23:47:09,8,102,0.0,0.0,0.0004205499517508739
2025-01-30 23:47:09,6,107,0.0,0.0,0.00030218637466689915
2025-01-30 23:47:09,6,113,0.0,0.0,0.0008766236055621266
2025-01-30 23:47:09,7,123,0.0,0.0,0.0007937165775679182
2025-01-30 23:47:09,7,128,0.0,0.0,0.0006453470371557066
2025-01-30 23:47:09,7,132,0.0,0.0,8.254318453354598e-05
2025-01-30 23:47:09,8,135,0.0,0.0,0.0004255673070804144
2025-01-30 23:47:09,6,138,0.0,0.0,0.0005573782676161899
2025-01-30 23:47:09,7,145,0.0,0.0,0.0006586742272637447
2025-01-30 23:47:09,5,151,0.006622516556291391,0.6622516556291391,0.0006383214941012737
2025-01-30 23:47:09,7,161,0.006211180124223602,0.6211180124223602,7.921253564536e-05
2025-01-30 23:47:09,8,167,0.005988023952095809,0.5988023952095809,0.00040605889306180554
2025-01-30 23:47:09,8,175,0.005714285714285714,0.5714285714285714,0.00042773006940853374
2025-01-30 23:47:09,8,182,0.005494505494505495,0.5494505494505495,0.0005040085243227943
2025-01-30 23:47:09,7,191,0.005235602094240838,0.5235602094240838,0.0004224850292971785
2025-01-30 23:47:09,8,198,0.005050505050505051,0.5050505050505051,0.00019961757616449602
2025-01-30 23:47:09,6,204,0.004901960784313725,0.49019607843137253,0.0003936768588281084
2025-01-30 23:47:09,8,209,0.004784688995215311,0.4784688995215311,0.00021730815481265525
2025-01-30 23:47:09,7,217,0.004608294930875576,0.4608294930875576,0.00027350125989156584
2025-01-30 23:47:09,6,224,0.008928571428571428,0.8928571428571428,0.0001542782239116387
2025-01-30 23:47:09,7,230,0.008695652173913044,0.8695652173913043,0.00016933519670137308
2025-01-30 23:47:09,7,234,0.008547008547008548,0.8547008547008548,0.00026470186752956733
2025-01-30 23:47:09,7,244,0.00819672131147541,0.819672131147541,0.00012945764116128447
2025-01-30 23:47:09,7,251,0.00796812749003984,0.796812749003984,0.00020210438430707492
2025-01-30 23:47:09,8,257,0.007782101167315175,0.7782101167315175,0.0003160927911636259
2025-01-30 23:47:09,8,265,0.007547169811320755,0.7547169811320755,0.0003488313841842841
2025-01-30 23:47:09,8,268,0.007462686567164179,0.7462686567164178,0.0003472632624435935
2025-01-30 23:47:09,6,276,0.007246376811594203,0.7246376811594203,9.25444610255394e-05
2025-01-30 23:47:09,7,279,0.007168458781362007,0.7168458781362007,0.00020734840241781442
2025-01-30 23:47:09,7,289,0.010380622837370242,1.0380622837370241,0.00020557899023684233
2025-01-30 23:47:09,8,293,0.010238907849829351,1.023890784982935,8.37369417798319e-05
2025-01-30 23:47:09,7,300,0.01,1.0,9.64325545917617e-05
2025-01-30 23:47:09,7,309,0.009708737864077669,0.9708737864077669,0.00022741730293311557
2025-01-30 23:47:09,7,313,0.009584664536741214,0.9584664536741214,0.0001756612836895053
2025-01-30 23:47:09,7,318,0.009433962264150943,0.9433962264150944,0.00024592030345918985
2025-01-30 23:47:09,6,323,0.009287925696594427,0.9287925696594427,0.0003004561879407447
2025-01-30 23:47:09,7,329,0.00911854103343465,0.911854103343465,0.00022736037339080899
2025-01-30 23:47:09,8,335,0.008955223880597015,0.8955223880597015,0.0001372988650457459
2025-01-30 23:47:09,7,338,0.008875739644970414,0.8875739644970414,0.0001348827311537977
2025-01-30 23:47:09,8,345,0.008695652173913044,0.8695652173913043,0.00019803119985094473
2025-01-30 23:47:09,7,353,0.0084985835694051,0.84985835694051,0.00017370560314982372
2025-01-30 23:47:09,6,357,0.008403361344537815,0.8403361344537815,0.0002542566806962228
2025-01-30 23:47:09,7,363,0.011019283746556474,1.1019283746556474,0.0002717938889873288
2025-01-30 23:47:09,8,369,0.01084010840108401,1.084010840108401,0.0002495529330592656
2025-01-30 23:47:09,7,378,0.010582010582010581,1.0582010582010581,6.729506755675583e-05
2025-01-30 23:47:09,6,385,0.012987012987012988,1.2987012987012987,0.00021283265129281854
2025-01-30 23:47:09,8,394,0.012690355329949238,1.2690355329949239,8.290569676284084e-05
2025-01-30 23:47:09,8,401,0.012468827930174564,1.2468827930174564,5.888593830376756e-05
2025-01-30 23:47:09,8,405,0.012345679012345678,1.2345679012345678,0.0001139348946089211
2025-01-30 23:47:09,6,413,0.012106537530266344,1.2106537530266344,0.00013792718758152332
2025-01-30 23:47:09,8,416,0.01201923076923077,1.201923076923077,0.00019224999046433926
