Content Name,Aggregated Popularity,Rank
dog_image33.jpg,9.1358,1
dog_image40.jpg,8.4885,2
dog_image1.jpg,8.1568,3
dog_image27.jpg,7.587300000000001,4
cat_image1.jpg,6.868,5
cat_image3.jpg,6.543899999999999,6
dog_image31.jpg,6.2531,7
cat_image2.jpg,6.2231000000000005,8
dog_image48.jpg,6.2138,9
cat_image12.jpg,5.877699999999999,10
cat_image40.jpg,5.7921,11
cat_image17.jpg,5.7545,12
dog_image13.jpg,5.7314,13
dog_image24.jpg,5.2704,14
cat_image31.jpg,5.085,15
cat_image13.jpg,5.0728,16
dog_image26.jpg,4.9996,17
dog_image19.jpg,4.7877,18
dog_image14.jpg,4.7486999999999995,19
dog_image12.jpg,4.6487,20
cat_image47.jpg,4.5823,21
cat_image16.jpg,4.5701,22
dog_image41.jpg,4.5701,23
cat_image24.jpg,4.3847000000000005,24
dog_image42.jpg,4.2538,25
dog_image39.jpg,4.1137,26
dog_image38.jpg,4.0947,27
dog_image28.jpg,4.0484,28
dog_image15.jpg,3.9752,29
cat_image22.jpg,3.9237,30
cat_image30.jpg,3.9237,31
dog_image34.jpg,3.9096,32
cat_image5.jpg,3.9023000000000003,33
dog_image6.jpg,3.7698,34
cat_image15.jpg,3.7698,35
dog_image18.jpg,3.6389,36
cat_image18.jpg,3.5873999999999997,37
dog_image4.jpg,3.4413,38
cat_image35.jpg,3.3757,39
cat_image8.jpg,3.2947,40
cat_image39.jpg,3.2874,41
cat_image26.jpg,3.1188000000000002,42
dog_image17.jpg,3.0974,43
cat_image50.jpg,3.0164,44
dog_image36.jpg,2.9188,45
cat_image25.jpg,2.8803,46
dog_image35.jpg,2.8803,47
dog_image29.jpg,2.8779,48
cat_image7.jpg,2.7993,49
cat_image34.jpg,2.6093,50
dog_image30.jpg,2.5554,51
cat_image41.jpg,2.5554,52
dog_image44.jpg,2.5364,53
cat_image14.jpg,2.5093,54
dog_image2.jpg,2.3898,55
dog_image16.jpg,2.3654,56
dog_image25.jpg,2.3654,57
dog_image11.jpg,2.3169,58
dog_image10.jpg,2.2998000000000003,59
cat_image42.jpg,2.1754000000000002,60
cat_image9.jpg,2.1269,61
cat_image32.jpg,2.073,62
cat_image33.jpg,2.0459,63
dog_image9.jpg,1.9944,64
cat_image20.jpg,1.992,65
cat_image6.jpg,1.9559000000000002,66
dog_image23.jpg,1.9559000000000002,67
dog_image21.jpg,1.8749,68
cat_image38.jpg,1.802,69
dog_image50.jpg,1.802,70
dog_image22.jpg,1.7659000000000002,71
cat_image28.jpg,1.702,72
dog_image43.jpg,1.5310000000000001,73
dog_image49.jpg,1.5310000000000001,74
cat_image23.jpg,1.5310000000000001,75
cat_image27.jpg,1.512,76
dog_image37.jpg,1.512,77
dog_image20.jpg,1.4949000000000001,78
cat_image49.jpg,1.3949,79
cat_image19.jpg,1.3949,80
cat_image46.jpg,1.3410000000000002,81
cat_image44.jpg,1.3410000000000002,82
dog_image32.jpg,1.1510000000000002,83
cat_image48.jpg,1.0510000000000002,84
cat_image45.jpg,0.97,85
cat_image37.jpg,0.9610000000000001,86
cat_image4.jpg,0.9510000000000001,87
dog_image5.jpg,0.9510000000000001,88
cat_image21.jpg,0.8800000000000001,89
dog_image7.jpg,0.8800000000000001,90
dog_image8.jpg,0.8800000000000001,91
cat_image29.jpg,0.8699999999999999,92
cat_image43.jpg,0.8610000000000001,93
dog_image45.jpg,0.78,94
dog_image3.jpg,0.6799999999999999,95
dog_image47.jpg,0.49,96
cat_image11.jpg,0.4,97
dog_image46.jpg,0.39,98
cat_image10.jpg,0.29,99
